Row_ID,Project_Name,Project_Location,Project_Type,Budget_Line_Item,Sub_Category,Main_Category,Phase,Budgeted_Amount_Lacs,Spent_Amount_Lacs,Percentage_Spent,Remaining_Amount_Lacs,Contingency_Allocated_Lacs,Contingency_Used_Lacs,Vendor_Name,Unit_Rate_Rupees,Quantity_Units,Unit_Type,Work_Status,Completion_Target_Percent,Actual_Completion_Percent,Timeline_Status,Risk_Level,Risk_Description,Approval_Status,Invoice_Pending_Lacs,Notes
11,IISER Library,Tirupati AP,Educational,Electrical Main Panel,MEP System,MEP,MEP-Execution,6.50,5.20,80.0,1.30,1.00,0.20,Power Systems Ltd,65000,8,unit,Execution,80,80.0,On-track,Low,Main equipment installed,Approved,0.20,Testing ongoing
12,IISER Library,Tirupati AP,Educational,Electrical Cabling,MEP System,MEP,MEP-Execution,7.20,3.40,47.2,3.80,1.50,0.00,Power Systems Ltd,24,300000,meter,Execution,50,47.2,On-track,Low,In progress,Approved,0.00,Good productivity
13,IISER Library,Tirupati AP,Educational,Lighting Fixtures,MEP System,MEP,MEP-Execution,5.80,1.50,25.9,4.30,1.00,0.00,Lighting Corp,580,10000,fixture,Planning,25,25.9,On-track,Low,Pending cabling,Approved,0.00,Scheduled
14,IISER Library,Tirupati AP,Educational,Plumbing Design,MEP System,MEP,MEP-Planning,4.20,2.80,66.7,1.40,0.80,0.00,Plumbing Solutions,350000,1.2,unit,Execution,70,66.7,On-track,Low,Layout finalized,Approved,0.00,Design complete
15,IISER Library,Tirupati AP,Educational,Plumbing Installation,MEP System,MEP,MEP-Execution,6.50,1.20,18.5,5.30,1.50,0.00,Plumbing Solutions,420,15476,meter,Planning,20,18.5,On-track,Low,Month 5 start,Approved,0.00,Pending design
16,IISER Library,Tirupati AP,Educational,Paint Exterior,Finishes,Finishes,Finishes,5.20,0.80,15.4,4.40,1.00,0.00,Paint Specialists,150,34667,sqm,Planning,15,15.4,On-track,Low,Month 6 schedule,Approved,0.00,Material procurement
17,IISER Library,Tirupati AP,Educational,Paint Interior,Finishes,Finishes,Finishes,7.80,1.20,15.4,6.60,1.50,0.00,Paint Specialists,120,65000,sqm,Planning,15,15.4,On-track,Low,Month 6 schedule,Approved,0.00,Material ordered
18,IISER Library,Tirupati AP,Educational,Flooring Marble,Finishes,Finishes,Finishes,8.50,0.50,5.9,8.00,1.50,0.00,Marble Suppliers,3800,2237,sqm,Planning,5,5.9,On-track,Low,Material procurement,Approved,0.00,Quotes under review
19,IISER Library,Tirupati AP,Educational,Flooring Ceramic,Finishes,Finishes,Finishes,6.20,0.40,6.5,5.80,1.00,0.00,Ceramic Traders,2800,2214,sqm,Planning,5,6.5,On-track,Low,Tiles ordered,Approved,0.00,Delivery next month
20,IISER Library,Tirupati AP,Educational,Door & Window Frame,Finishes,Finishes,Finishes,7.50,0.30,4.0,7.20,1.50,0.00,Aluminum Fabricators,2400,3125,unit,Planning,5,4.0,On-track,Low,Fabrication starting,Approved,0.00,Design finalized
21,IISER Library,Tirupati AP,Educational,Glazing Installation,Finishes,Finishes,Finishes,4.80,0.00,0.0,4.80,1.00,0.00,Glass Suppliers,4500,1067,sqm,Planning,0,0.0,On-track,Low,Design pending,Pending,0.00,Architectural approval
22,IISER Library,Tirupati AP,Educational,Project Management,PM & Admin,PM,PM,5.20,3.40,65.4,1.80,0.80,0.00,DEC Internal,Per month,5.2,monthly,Execution,65,65.4,On-track,Low,Full team on-site,Approved,0.00,Regular reporting
23,IISER Library,Tirupati AP,Educational,Site Supervision,PM & Admin,PM,PM,4.50,2.90,64.4,1.60,0.70,0.00,DEC Internal,Per month,4.5,monthly,Execution,65,64.4,On-track,Low,Daily monitoring,Approved,0.00,Staffed adequately
24,IISER Library,Tirupati AP,Educational,Quality Assurance,PM & Admin,PM,PM,2.80,1.50,53.6,1.30,0.50,0.00,Testing Lab,Per month,2.8,monthly,Execution,55,53.6,On-track,Low,All tests passed,Approved,0.00,Good compliance
25,IISER Library,Tirupati AP,Educational,Safety & Compliance,PM & Admin,PM,PM,3.10,2.10,67.7,1.00,0.60,0.00,Safety Consultants,Per month,3.1,monthly,Execution,70,67.7,On-track,Low,No incidents,Approved,0.00,Excellent record
26,Medical College,Suryapet TS,Healthcare,Piling Work,Foundation Piles,Civil Works,Foundation,24.50,26.80,109.4,-2.30,3.00,2.50,Pile Contractors India,24000,1117,pile,On-track,100,109.4,Delayed,High,Deeper soil layers,Approved,2.30,Geo-tech variation
27,Medical College,Suryapet TS,Healthcare,Raft RCC,Foundation Raft,Civil Works,Foundation,18.20,17.50,96.2,0.70,2.00,0.00,Concrete Suppliers Inc,1500,11667,sqm,On-track,100,96.2,On-track,Low,Slightly ahead,Approved,0.00,Good coordination
28,Medical College,Suryapet TS,Healthcare,Ground Floor Frame,Structural Frame,Civil Works,Structure,28.50,24.30,85.3,4.20,3.00,0.00,Steel Fabricators India,600,40500,unit,On-track,85,85.3,On-track,Low,Good progress,Approved,0.00,On pace
29,Medical College,Suryapet TS,Healthcare,First Floor Frame,Structural Frame,Civil Works,Structure,26.80,19.40,72.4,7.40,2.80,0.00,Steel Fabricators India,600,39333,unit,On-track,75,72.4,On-track,Low,On-schedule,Approved,0.00,Normal pace
30,Medical College,Suryapet TS,Healthcare,Second Floor Frame,Structural Frame,Civil Works,Structure,25.20,15.80,62.7,9.40,2.50,0.00,Steel Fabricators India,600,36333,unit,On-track,60,62.7,Ahead,Low,Good progress,Approved,0.00,Labor productivity high
31,Medical College,Suryapat TS,Healthcare,Third Floor Frame,Structural Frame,Civil Works,Structure,24.50,8.20,33.5,16.30,2.50,0.00,Steel Fabricators India,600,32500,unit,Planning,35,33.5,On-track,Low,Scheduled month 6,Approved,0.00,Dependent on L2
32,Medical College,Suryapet TS,Healthcare,Roof Structural,Structural Frame,Civil Works,Structure,15.80,2.10,13.3,13.70,1.80,0.00,Steel Fabricators India,600,9333,unit,Planning,15,13.3,On-track,Low,Month 6 scheduled,Approved,0.00,Final phase
33,Medical College,Suryapet TS,Healthcare,External Brickwork,Infill Walls,Civil Works,Infill,22.40,8.50,37.9,13.90,2.50,0.00,Brick Suppliers Ltd,2500,8960,1000brick,On-track,40,37.9,On-track,Low,Parallel with structure,Approved,0.00,Good pace
34,Medical College,Suryapet TS,Healthcare,Internal Brickwork,Infill Walls,Civil Works,Infill,18.90,4.20,22.2,14.70,2.00,0.00,Brick Suppliers Ltd,2500,7560,1000brick,Planning,25,22.2,On-track,Low,Next month start,Approved,0.00,Scheduled
35,Medical College,Suryapet TS,Healthcare,External Plaster,Surface Finish,Civil Works,Infill,12.50,1.80,14.4,10.70,1.50,0.00,Surface Finish Ltd,800,15625,100sqm,Planning,15,14.4,On-track,Low,After brickwork,Approved,0.00,Sequence dependent
36,Medical College,Suryapet TS,Healthcare,Internal Plaster,Surface Finish,Civil Works,Infill,15.80,0.50,3.2,15.30,1.50,0.00,Surface Finish Ltd,800,19750,100sqm,Planning,5,3.2,On-track,Low,Month 7 plan,Approved,0.00,Later phase
37,Medical College,Suryapet TS,Healthcare,HVAC Large Capacity,MEP System,MEP,MEP-Execution,18.50,8.20,44.3,10.30,2.50,1.50,Climate Control Systems,500000,37,TR,Execution,45,44.3,On-track,Medium,Medical-grade system,Approved,1.50,Complex specification
38,Medical College,Suryapet TS,Healthcare,Electrical Main Distribution,MEP System,MEP,MEP-Execution,14.20,9.50,66.9,4.70,2.00,0.50,Power Systems Ltd,150000,9,unit,Execution,70,66.9,On-track,Low,On-track,Approved,0.50,Testing phase
39,Medical College,Suryapet TS,Healthcare,Electrical Distribution Cabling,MEP System,MEP,MEP-Execution,12.80,5.40,42.2,7.40,2.00,0.00,Power Systems Ltd,42,300000,meter,Execution,45,42.2,On-track,Low,Progressing,Approved,0.00,Good labor
40,Medical College,Suryapet TS,Healthcare,Plumbing Wet Chambers,MEP System,MEP,MEP-Execution,16.50,6.80,41.2,9.70,2.50,0.00,Plumbing Solutions,600,27500,meter,Execution,40,41.2,Ahead,Medium,Complex layouts,Approved,0.00,Good progress
41,Medical College,Suryapet TS,Healthcare,Fire Fighting System,MEP System,MEP,MEP-Execution,9.20,2.10,22.8,7.10,1.50,0.00,Fire Safety Systems,180000,5.1,unit,Execution,25,22.8,On-track,Low,Design approved,Approved,0.00,Equipment ordered
42,Medical College,Suryapet TS,Healthcare,Lift Installation,MEP System,MEP,MEP-Execution,8.50,1.20,14.1,7.30,1.50,0.00,Lift Manufacturers,1500000,0.6,unit,Planning,15,14.1,On-track,Low,Tender in process,Pending,0.00,Procurement stage
43,Medical College,Suryapet TS,Healthcare,Wall Putty,Finishes,Finishes,Finishes,8.20,0.30,3.7,7.90,1.00,0.00,Paint Specialists,90,91111,sqm,Planning,5,3.7,On-track,Low,Post-plaster,Approved,0.00,Masonry dependent
44,Medical College,Suryapet TS,Healthcare,Wall Paint,Finishes,Finishes,Finishes,12.50,0.60,4.8,11.90,1.50,0.00,Paint Specialists,140,89286,sqm,Planning,5,4.8,On-track,Low,Month 8 schedule,Approved,0.00,Material sourcing
45,Medical College,Suryapet TS,Healthcare,Flooring Vitrified,Finishes,Finishes,Finishes,14.80,0.40,2.7,14.40,2.00,0.00,Ceramic Traders,3200,46250,sqm,Planning,5,2.7,On-track,Low,Procurement stage,Approved,0.00,Quotes obtained
46,Medical College,Suryapet TS,Healthcare,False Ceiling,Finishes,Finishes,Finishes,10.50,0.20,1.9,10.30,1.50,0.00,Ceiling Systems Ltd,850,123529,sqm,Planning,5,1.9,On-track,Low,Design finalization,Pending,0.00,Architectural review
47,Medical College,Suryapet TS,Healthcare,Door & Window,Finishes,Finishes,Finishes,12.20,0.40,3.3,11.80,1.50,0.00,Aluminum Fabricators,2800,4357,unit,Planning,5,3.3,On-track,Low,Fabrication starting,Approved,0.00,Design finalized
48,Medical College,Suryapet TS,Healthcare,Project Management,PM & Admin,PM,PM,6.50,3.80,58.5,2.70,1.00,0.50,DEC Internal,Per month,6.5,monthly,Execution,60,58.5,On-track,Low,On-track,Approved,0.50,Increased coordination
49,Medical College,Suryapet TS,Healthcare,Site Supervision,PM & Admin,PM,PM,5.80,3.20,55.2,2.60,1.00,0.30,DEC Internal,Per month,5.8,monthly,Execution,55,55.2,On-track,Low,Full team,Approved,0.30,Staffing good
50,Medical College,Suryapet TS,Healthcare,Quality Assurance,PM & Admin,PM,PM,4.20,2.10,50.0,2.10,0.80,0.00,Testing Lab,Per month,4.2,monthly,Execution,50,50.0,On-track,Low,Regular testing,Approved,0.00,Good compliance
51,Medical College,Suryapet TS,Healthcare,Safety & Compliance,PM & Admin,PM,PM,3.80,2.40,63.2,1.40,0.70,0.00,Safety Consultants,Per month,3.8,monthly,Execution,65,63.2,On-track,Low,Good safety,Approved,0.00,Excellent record
52,IT Park,Mangalgiri AP,Commercial,Site Preparation,Site Preparation,Civil Works,Foundation,5.20,5.10,98.1,0.10,0.80,0.00,Ground Works Ltd,500,10400,sqm,Complete,100,98.1,On-track,Low,Completed early,Approved,0.00,Efficient execution
53,IT Park,Mangalgiri AP,Commercial,Grid Layout,Site Preparation,Civil Works,Foundation,3.80,3.75,98.7,0.05,0.60,0.00,Survey Services,400,9500,sqm,Complete,100,98.7,On-track,Low,Completed,Approved,0.00,On schedule
54,IT Park,Mangalgiri AP,Commercial,Raft Preparation,Foundation Raft,Civil Works,Foundation,8.50,8.40,98.8,0.10,1.00,0.00,Concrete Suppliers Inc,900,9444,sqm,On-track,100,98.8,On-track,Low,Nearly complete,Approved,0.00,High accuracy
55,IT Park,Mangalgiri AP,Commercial,Ground Floor Structure,Structural Frame,Civil Works,Structure,16.50,14.20,86.1,2.30,2.00,0.00,Steel Fabricators India,700,23571,unit,On-track,90,86.1,On-track,Low,Good progress,Approved,0.00,Labor productivity
56,IT Park,Mangalgiri AP,Commercial,First Floor Structure,Structural Frame,Civil Works,Structure,15.80,12.30,77.8,3.50,2.00,0.00,Steel Fabricators India,700,22571,unit,On-track,80,77.8,On-track,Low,On-schedule,Approved,0.00,Good pace
57,IT Park,Mangalgiri AP,Commercial,Second Floor Structure,Structural Frame,Civil Works,Structure,15.20,9.50,62.5,5.70,2.00,0.00,Steel Fabricators India,700,21714,unit,On-track,65,62.5,On-track,Low,Scheduled,Approved,0.00,Linear progress
58,IT Park,Mangalgiri AP,Commercial,Roof Structure,Structural Frame,Civil Works,Structure,12.40,4.30,34.7,8.10,1.50,0.00,Steel Fabricators India,700,17714,unit,Planning,35,34.7,On-track,Low,Next phase,Approved,0.00,Dependent on L2
59,IT Park,Mangalgiri AP,Commercial,External Finishing,Infill Walls,Civil Works,Infill,18.50,3.20,17.3,15.30,2.00,0.00,Brick Suppliers Ltd,2500,7400,1000brick,Planning,20,17.3,On-track,Low,Starting soon,Approved,0.00,Design finalized
60,IT Park,Mangalgiri AP,Commercial,Electrical Design,MEP System,MEP,MEP-Planning,6.80,5.20,76.5,1.60,1.00,0.00,Power Systems Ltd,800,8500,unit,Execution,80,76.5,On-track,Low,Design finalized,Approved,0.00,Design complete
61,IT Park,Mangalgiri AP,Commercial,Electrical Installation,MEP System,MEP,MEP-Execution,10.50,6.30,60.0,4.20,1.50,0.50,Power Systems Ltd,480,131250,meter,Execution,60,60.0,On-track,Medium,Labor ongoing,Approved,0.50,Procurement delays
62,IT Park,Mangalgiri AP,Commercial,Data Cabling,MEP System,MEP,MEP-Execution,9.20,3.80,41.3,5.40,1.50,0.00,Network Solutions,2500,3680,meter,Execution,40,41.3,Ahead,Low,Partial progress,Approved,0.00,Good progress
63,IT Park,Mangalgiri AP,Commercial,HVAC System,MEP System,MEP,MEP-Execution,8.50,2.10,24.7,6.40,1.50,0.00,Climate Control Systems,400000,21.25,TR,Planning,25,24.7,On-track,Low,Design in progress,Approved,0.00,Planning phase
64,IT Park,Mangalgiri AP,Commercial,Plumbing System,MEP System,MEP,MEP-Execution,6.20,1.50,24.2,4.70,1.00,0.00,Plumbing Solutions,380,16316,meter,Planning,25,24.2,On-track,Low,Post-structural,Approved,0.00,Scheduled
65,IT Park,Mangalgiri AP,Commercial,Flooring,Finishes,Finishes,Finishes,12.80,0.80,6.3,12.00,1.50,0.00,Ceramic Traders,3500,36571,sqm,Planning,5,6.3,On-track,Low,Material sourcing,Approved,0.00,Quotes obtained
66,IT Park,Mangalgiri AP,Commercial,Wall Paint,Finishes,Finishes,Finishes,8.50,0.40,4.7,8.10,1.00,0.00,Paint Specialists,120,70833,sqm,Planning,5,4.7,On-track,Low,Month 9 schedule,Approved,0.00,Procurement
67,IT Park,Mangalgiri AP,Commercial,Door & Window,Finishes,Finishes,Finishes,9.80,0.30,3.1,9.50,1.50,0.00,Aluminum Fabricators,2500,3920,unit,Planning,5,3.1,On-track,Low,Tender preparation,Approved,0.00,RFQ issued
68,IT Park,Mangalgiri AP,Commercial,Project Management,PM & Admin,PM,PM,4.20,2.40,57.1,1.80,0.70,0.40,DEC Internal,Per month,4.2,monthly,Execution,60,57.1,On-track,Low,On-track,Approved,0.40,Increased coordination
69,IT Park,Mangalgiri AP,Commercial,Site Supervision,PM & Admin,PM,PM,3.80,2.10,55.3,1.70,0.60,0.20,DEC Internal,Per month,3.8,monthly,Execution,55,55.3,On-track,Low,Full team,Approved,0.20,Staffing adequate
70,Nazamabad Water Project,Nizamabad TS,Infrastructure,Excavation & Dewatering,Foundation Work,Civil Works,Foundation,12.50,13.20,105.6,-0.70,1.80,1.50,Soil Contractors Ltd,1500,8800,cum,On-track,100,105.6,Delayed,High,High water table,Approved,0.70,Geology variation
71,Nazamabad Water Project,Nizamabad TS,Infrastructure,Foundation RCC,Foundation Work,Civil Works,Foundation,18.80,18.50,98.4,0.30,2.00,0.00,Concrete Suppliers Inc,2000,9250,sqm,On-track,100,98.4,On-track,Low,Nearly complete,Approved,0.00,High precision
72,Nazamabad Water Project,Nizamabad TS,Infrastructure,Structural Frame,Structural Frame,Civil Works,Structure,22.40,18.90,84.4,3.50,2.50,0.00,Steel Fabricators India,800,28500,unit,On-track,85,84.4,On-track,Low,Progressing,Approved,0.00,Good pace
73,Nazamabad Water Project,Nizamabad TS,Infrastructure,Cladding & Finishing,Infill Walls,Civil Works,Infill,16.50,5.30,32.1,11.20,2.00,0.00,Cladding Specialists,2800,5893,sqm,Planning,30,32.1,On-track,Low,Post-structure,Approved,0.00,Ahead of schedule
74,Nazamabad Water Project,Nizamabad TS,Infrastructure,Internal Partition,Infill Walls,Civil Works,Infill,12.20,3.40,27.9,8.80,1.50,0.00,Brick Suppliers Ltd,2200,5545,1000brick,Planning,30,27.9,On-track,Low,Design finalization,Approved,0.00,Pending approval
75,Nazamabad Water Project,Nizamabad TS,Infrastructure,Pumping System,MEP System,MEP,MEP-Execution,14.80,6.50,43.9,8.30,2.50,2.00,Pump Manufacturers Ltd,600000,24.67,unit,Execution,45,43.9,On-track,High,Complex specs,Approved,2.00,Technical challenges
76,Nazamabad Water Project,Nizamabad TS,Infrastructure,Electrical System,MEP System,MEP,MEP-Execution,8.50,4.20,49.4,4.30,1.50,0.50,Power Systems Ltd,550,15455,meter,Execution,50,49.4,On-track,Low,On-track,Approved,0.50,Good progress
77,Nazamabad Water Project,Nizamabad TS,Infrastructure,SCADA System,MEP System,MEP,MEP-Execution,6.80,2.10,30.9,4.70,1.50,0.00,Automation Systems,Per system,6.8,system,Execution,30,30.9,On-track,Medium,Integration pending,Approved,0.00,In progress
78,Nazamabad Water Project,Nizamabad TS,Infrastructure,Testing & Commissioning,PM & Admin,PM,PM,5.20,1.80,34.6,3.40,1.00,0.00,Testing Lab,Per month,5.2,monthly,Planning,35,34.6,On-track,Low,Scheduled,Approved,0.00,Next phase
79,NSDL Data Center,Bangalore KA,Commercial,Foundation Work,Foundation Work,Civil Works,Foundation,28.50,27.80,97.5,0.70,3.00,0.00,Concrete Suppliers Inc,2500,11120,sqm,On-track,100,97.5,On-track,Low,High precision,Approved,0.00,Excellent execution
80,NSDL Data Center,Bangalore KA,Commercial,Structural Frame,Structural Frame,Civil Works,Structure,35.20,31.50,89.5,3.70,4.00,0.00,Steel Fabricators India,1200,35200,unit,On-track,90,89.5,On-track,Low,Good progress,Approved,0.00,On schedule
81,NSDL Data Center,Bangalore KA,Commercial,False Floor Installation,Finishes,Finishes,Finishes,18.50,3.20,17.3,15.30,2.50,0.00,Flooring Systems Ltd,4200,44048,sqm,Planning,20,17.3,On-track,Low,Precision work,Approved,0.00,Complex installation
82,NSDL Data Center,Bangalore KA,Commercial,Power Supply System,MEP System,MEP,MEP-Execution,22.80,12.50,54.8,10.30,3.50,2.00,Power Systems Ltd,Per system,22.8,system,Execution,55,54.8,On-track,High,Critical infrastructure,Approved,2.00,Specialized equipment
83,NSDL Data Center,Bangalore KA,Commercial,Cooling System,MEP System,MEP,MEP-Execution,18.20,6.80,37.4,11.40,2.80,1.50,Climate Control Systems,600000,30.33,TR,Execution,40,37.4,On-track,High,Specialized cooling,Approved,1.50,Equipment delivery
84,NSDL Data Center,Bangalore KA,Commercial,Network Infrastructure,MEP System,MEP,MEP-Execution,12.50,4.20,33.6,8.30,2.00,0.00,Network Solutions,Per cabinet,12.5,cabinet,Execution,35,33.6,On-track,Low,Procurement ongoing,Approved,0.00,Sourcing phase
85,NSDL Data Center,Bangalore KA,Commercial,Testing & Commissioning,PM & Admin,PM,PM,8.80,2.10,23.9,6.70,1.50,0.00,Testing Lab,Per month,8.8,monthly,Planning,25,23.9,On-track,Low,Scheduled,Approved,0.00,Next phase
86,Kamareddy Auditorium,Kamareddy TS,Entertainment,Foundation,Foundation Work,Civil Works,Foundation,8.20,7.90,96.3,0.30,1.00,0.00,Concrete Suppliers Inc,1800,4556,sqm,On-track,100,96.3,On-track,Low,Nearly done,Approved,0.00,Good execution
87,Kamareddy Auditorium,Kamareddy TS,Entertainment,Structural Frame,Structural Frame,Civil Works,Structure,14.50,11.20,77.2,3.30,1.80,0.00,Steel Fabricators India,650,21538,unit,On-track,80,77.2,On-track,Low,Good progress,Approved,0.00,On schedule
88,Kamareddy Auditorium,Kamareddy TS,Entertainment,Acoustic Treatment,Finishes,Finishes,Finishes,6.80,2.10,30.9,4.70,1.00,0.00,Acoustic Systems Ltd,Per 100 sqm,6.8,100sqm,Planning,30,30.9,On-track,Low,Post-structural,Approved,0.00,Ahead
89,Kamareddy Auditorium,Kamareddy TS,Entertainment,Seating Installation,Finishes,Finishes,Finishes,12.50,0.80,6.4,11.70,1.50,0.00,Seating Manufacturers,180000,69.44,seat,Planning,5,6.4,On-track,Low,Procurement,Approved,0.00,Quotes obtained
90,Kamareddy Auditorium,Kamareddy TS,Entertainment,Stage & Sound System,MEP System,MEP,MEP-Execution,8.90,1.50,16.9,7.40,1.50,0.00,Audio Visual Systems,Per system,8.9,system,Planning,15,16.9,On-track,Low,Equipment selection,Approved,0.00,Design phase
91,Kamareddy Auditorium,Kamareddy TS,Entertainment,Lighting Design,MEP System,MEP,MEP-Execution,5.80,0.60,10.3,5.20,1.00,0.00,Lighting Corp,580,10000,fixture,Planning,10,10.3,On-track,Low,Design phase,Approved,0.00,Specifications finalized
92,Kamareddy Auditorium,Kamareddy TS,Entertainment,Project Management,PM & Admin,PM,PM,2.50,1.60,64.0,0.90,0.50,0.00,DEC Internal,Per month,2.5,monthly,Execution,65,64.0,On-track,Low,On-track,Approved,0.00,Staffing good
93,JNTU Campus,Anantapur AP,Educational,Academic Block Foundation,Foundation Work,Civil Works,Foundation,15.20,14.80,97.4,0.40,1.80,0.00,Concrete Suppliers Inc,1900,7789,sqm,On-track,100,97.4,On-track,Low,Nearly done,Approved,0.00,Excellent precision
94,JNTU Campus,Anantapur AP,Educational,Academic Block Structure,Structural Frame,Civil Works,Structure,22.50,18.30,81.3,4.20,2.50,0.00,Steel Fabricators India,700,32143,unit,On-track,85,81.3,On-track,Low,On-schedule,Approved,0.00,Good progress
95,JNTU Campus,Anantapur AP,Educational,Academic Block Finishes,Finishes,Finishes,Finishes,18.80,4.20,22.3,14.60,2.00,0.00,Surface Finish Ltd,180,104444,sqm,Planning,25,22.3,On-track,Low,Post-structural,Approved,0.00,Scheduled
96,JNTU Campus,Anantapur AP,Educational,Admin Block Foundation,Foundation Work,Civil Works,Foundation,10.50,10.20,97.1,0.30,1.20,0.00,Concrete Suppliers Inc,1800,5667,sqm,On-track,100,97.1,On-track,Low,Nearly done,Approved,0.00,Good execution
97,JNTU Campus,Anantapur AP,Educational,Admin Block Structure,Structural Frame,Civil Works,Structure,14.80,11.20,75.7,3.60,1.80,0.00,Steel Fabricators India,650,21538,unit,On-track,80,75.7,On-track,Low,Good pace,Approved,0.00,On-track
98,JNTU Campus,Anantapur AP,Educational,Admin Block Finishes,Finishes,Finishes,Finishes,12.40,2.10,16.9,10.30,1.50,0.00,Surface Finish Ltd,160,77500,sqm,Planning,20,16.9,On-track,Low,Post-structural,Approved,0.00,Scheduled
99,JNTU Campus,Anantapur AP,Educational,Library Foundation,Foundation Work,Civil Works,Foundation,12.80,12.50,97.7,0.30,1.50,0.00,Concrete Suppliers Inc,1850,6757,sqm,On-track,100,97.7,On-track,Low,Nearly done,Approved,0.00,Excellent execution
100,JNTU Campus,Anantapur AP,Educational,Library Structure,Structural Frame,Civil Works,Structure,18.50,14.20,76.8,4.30,2.00,0.00,Steel Fabricators India,680,26471,unit,On-track,80,76.8,On-track,Low,On-schedule,Approved,0.00,Good pace
101,JNTU Campus,Anantapur AP,Educational,Library Finishes,Finishes,Finishes,Finishes,15.60,2.80,17.9,12.80,1.80,0.00,Surface Finish Ltd,175,89143,sqm,Planning,20,17.9,On-track,Low,Post-structural,Approved,0.00,Scheduled
102,JNTU Campus,Anantapur AP,Educational,Campus Roads,Civil Works,Civil Works,Infrastructure,8.50,5.20,61.2,3.30,1.00,0.00,Road Contractors,450,11556,100sqm,On-track,65,61.2,On-track,Low,Progressing,Approved,0.00,Good pace
103,JNTU Campus,Anantapur AP,Educational,Campus Utilities,Civil Works,Civil Works,Infrastructure,9.20,3.80,41.3,5.40,1.20,0.00,Utility Services,Per system,9.2,system,Planning,40,41.3,On-track,Low,Design finalization,Approved,0.00,Ongoing
104,JNTU Campus,Anantapur AP,Educational,Campus MEP,MEP System,MEP,MEP-Execution,12.50,4.20,33.6,8.30,1.50,0.00,Power Systems Ltd,Per block,12.5,block,Execution,35,33.6,On-track,Low,Shared services,Approved,0.00,Centralized
105,JNTU Campus,Anantapur AP,Educational,Project Management,PM & Admin,PM,PM,5.80,3.20,55.2,2.60,1.00,0.50,DEC Internal,Per month,5.8,monthly,Execution,55,55.2,On-track,Low,On-track,Approved,0.50,Good coordination
